timestamp,instrument,granularity,split,strategy_version,side,rejection_code,rejection_reason,spread_pips,atr_pips,stop_distance_pips,hour_utc,day_of_week,session
2020-02-28T02:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SPREAD_TO_ATR,spread/atr 8.08% > 8.0%,1.8,22.281209286753604,45.5,2,Fri,Asia/late
2020-03-12T17:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SPREAD_TOO_WIDE,spread 5.0 > cap 2.0 pips,5.0,58.2386222908542,119.0,17,Thu,NY
2020-03-12T17:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SPREAD_TO_ATR,spread/atr 8.59% > 8.0%,5.0,58.2386222908542,119.0,17,Thu,NY
2020-03-13T13:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SPREAD_TOO_WIDE,spread 2.3 > cap 2.0 pips,2.3,64.48037301466303,130.1,13,Fri,London/NY overlap
2020-06-08T17:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SPREAD_TOO_WIDE,spread 2.2 > cap 2.0 pips,2.2,38.489937945010354,78.1,17,Mon,NY
2020-07-06T21:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SESSION_BLOCKED,inside blocked session window,1.7,23.200453891250174,47.3,21,Mon,Asia/late
2020-07-30T21:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SESSION_BLOCKED,inside blocked session window,1.7,30.60841487475101,62.1,21,Thu,Asia/late
2020-10-19T21:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SESSION_BLOCKED,inside blocked session window,1.3,24.14072421867647,48.9,21,Mon,Asia/late
2020-12-30T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SESSION_BLOCKED,inside blocked session window,1.4,23.209138587564073,47.1,22,Wed,Asia/late
2021-02-21T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SESSION_BLOCKED,inside blocked session window,1.3,27.78444562172427,56.2,22,Sun,Asia/late
2021-03-23T17:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SPREAD_TOO_WIDE,spread 3.6 > cap 2.0 pips,3.6,31.923696193819413,65.6,17,Tue,NY
2021-03-23T17:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SPREAD_TO_ATR,spread/atr 11.28% > 8.0%,3.6,31.923696193819413,65.6,17,Tue,NY
2021-03-23T21:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SESSION_BLOCKED,inside blocked session window,1.3,32.4684321799752,65.6,21,Tue,Asia/late
2021-03-24T17:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SPREAD_TOO_WIDE,spread 4.1 > cap 2.0 pips,4.1,31.05951257176991,64.2,17,Wed,NY
2021-03-24T17:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SPREAD_TO_ATR,spread/atr 13.20% > 8.0%,4.1,31.05951257176991,64.2,17,Wed,NY
2021-07-18T21:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SESSION_BLOCKED,inside blocked session window,1.4,26.518292877074014,53.7,21,Sun,Asia/late
2021-10-13T21:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SESSION_BLOCKED,inside blocked session window,1.3,24.93975114510935,50.5,21,Wed,Asia/late
2021-10-26T21:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SESSION_BLOCKED,inside blocked session window,1.5,23.883634195819138,48.5,21,Tue,Asia/late
2021-11-11T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SESSION_BLOCKED,inside blocked session window,1.4,25.403553418756772,51.5,22,Thu,Asia/late
2021-11-17T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SESSION_BLOCKED,inside blocked session window,1.3,21.816834268113016,44.3,22,Wed,Asia/late
2021-11-25T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SESSION_BLOCKED,inside blocked session window,1.5,20.368972471754624,41.5,22,Thu,Asia/late
2022-03-06T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SESSION_BLOCKED,inside blocked session window,2.0,36.0799332242846,73.2,22,Sun,Asia/late
2023-01-24T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SESSION_BLOCKED,inside blocked session window,1.4,35.7651659112489,72.2,22,Tue,Asia/late
2024-03-20T21:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SESSION_BLOCKED,inside blocked session window,1.3,20.436773718701907,41.5,21,Wed,Asia/late
2024-05-15T21:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SESSION_BLOCKED,inside blocked session window,1.2,21.05035622619011,42.7,21,Wed,Asia/late
2024-10-15T21:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SESSION_BLOCKED,inside blocked session window,1.5,21.529318177374165,43.8,21,Tue,Asia/late
2024-10-25T17:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SPREAD_TO_ATR,spread/atr 10.27% > 8.0%,2.0,19.465870048178534,39.9,17,Fri,NY
2024-10-27T21:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SESSION_BLOCKED,inside blocked session window,1.3,19.47902218759435,39.6,21,Sun,Asia/late
2025-01-30T18:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SPREAD_TOO_WIDE,spread 2.7 > cap 2.0 pips,2.7,22.027510400405063,45.4,18,Thu,NY
2025-01-30T18:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SPREAD_TO_ATR,spread/atr 12.26% > 8.0%,2.7,22.027510400405063,45.4,18,Thu,NY
2025-02-02T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SESSION_BLOCKED,inside blocked session window,1.5,29.990763095945407,60.7,22,Sun,Asia/late
2025-09-01T05:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SPREAD_TO_ATR,spread/atr 8.78% > 8.0%,1.4,15.945411083012377,32.6,5,Mon,Asia/late
2025-11-04T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,short,SESSION_BLOCKED,inside blocked session window,1.4,19.20496814148227,39.1,22,Tue,Asia/late
2025-12-02T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SPREAD_TO_ATR,spread/atr 8.50% > 8.0%,1.4,16.464654900738765,33.6,22,Tue,Asia/late
2025-12-02T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SESSION_BLOCKED,inside blocked session window,1.4,16.464654900738765,33.6,22,Tue,Asia/late
2025-12-03T02:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SPREAD_TO_ATR,spread/atr 8.62% > 8.0%,1.4,16.23503669354315,33.2,2,Wed,Asia/late
2025-12-03T10:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SPREAD_TO_ATR,spread/atr 8.81% > 8.0%,1.4,15.896281638820371,32.5,10,Wed,London
2025-12-03T18:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SPREAD_TO_ATR,spread/atr 11.29% > 8.0%,1.8,15.950110188574774,32.8,18,Wed,NY
2025-12-03T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SPREAD_TO_ATR,spread/atr 8.28% > 8.0%,1.3,15.707245175105154,32.1,22,Wed,Asia/late
2025-12-03T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SESSION_BLOCKED,inside blocked session window,1.3,15.707245175105154,32.1,22,Wed,Asia/late
2025-12-10T18:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SPREAD_TO_ATR,spread/atr 9.97% > 8.0%,1.8,18.048953951450162,37.0,18,Wed,NY
2025-12-22T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SPREAD_TO_ATR,spread/atr 9.37% > 8.0%,1.4,14.944302498043598,30.6,22,Mon,Asia/late
2025-12-22T22:00:00+00:00,AUD_USD,H4,full,0.2.0-c003,long,SESSION_BLOCKED,inside blocked session window,1.4,14.944302498043598,30.6,22,Mon,Asia/late
